(42, 553)|58
(42, 680)|58
(42, 1273)|53|58|178|663
(42, 1764)|58|66
(42, 2027)|53
(42, 3214)|58
(42, 3216)|375
(42, 3223)|58
(42, 3257)|53|58|76|226|445|782|478|178|375|509|663
(42, 3303)|53|58|226|336
(42, 3320)|53|58|226|445|782|478|375
(42, 3491)|53|58|226
(42, 5413)|58|76
(42, 6233)|58
(42, 6461)|53|58|76|226|178|375
(42, 6667)|58
(42, 6762)|53|58|226|509|663
(42, 6830)|53|58|509
(42, 6908)|53|58|76
(42, 6939)|53|58|76|226|445|782|478|178|509|663
(42, 7713)|58|226|375
(42, 8218)|53|58|226|66
(42, 8220)|53|58|226|445|478|178|375
(42, 8298)|53
(42, 8426)|53|58|76
(42, 8447)|58
(42, 8455)|375
(42, 8468)|76
(42, 8758)|336
(42, 8888)|58
(42, 8966)|58|226
(42, 9002)|53|58|226|445|782|478|509|663
(42, 9145)|58
(42, 9304)|226
(42, 12307)|336
(42, 12552)|2333
(42, 12779)|53
(42, 12859)|58
(42, 12956)|58|226|782|375
(42, 13004)|663
(42, 13030)|53|58|226|445
(42, 13237)|58|445|782|478
(42, 14061)|58
(42, 14537)|53|226
(42, 14907)|226
(42, 15412)|53|226
(42, 15576)|336
(42, 15692)|76
(42, 16347)|53
(42, 16552)|58
(42, 18106)|58
(42, 20612)|336
(42, 20764)|58|375
(42, 20932)|58
(42, 21232)|336
(42, 21320)|58|226
(42, 24961)|58|375
(42, 25091)|53
(42, 25160)|53|478
(42, 25220)|58
(42, 29075)|53|58|226|336
(42, 29140)|58
(42, 29467)|53|58
(42, 29691)|336
(42, 29791)|375
(42, 30286)|375
(42, 30844)|226
(42, 31025)|58
(42, 31027)|58|445|375
(42, 31133)|375|509
(42, 33891)|53|58|445|782|424|66
(42, 34019)|53
(42, 34177)|53|226
(42, 34224)|53|58|663
(42, 34288)|336
(42, 34549)|58
(42, 34854)|58
(42, 34927)|336
(42, 35280)|53
(42, 35600)|53
(42, 35710)|58
(42, 36351)|58|375
(42, 36924)|53
(42, 37100)|226|375
(42, 37271)|58|226
(42, 37468)|58|226
(42, 37662)|226
(42, 37721)|53
(42, 39122)|178
(42, 39533)|58|336|375|663
(42, 39737)|53
(42, 41095)|53|226|375|663
(42, 41157)|53
(42, 41327)|58
(42, 41805)|663
(42, 41811)|76
(42, 42473)|53|58|76|226|509|663
(42, 47147)|58|66
(42, 47692)|58|66
(42, 47957)|375
(42, 48362)|58
(42, 49420)|509
(42, 49434)|53
(42, 50628)|53
(42, 50629)|58|445|782
(42, 50763)|375
(42, 50877)|53
(42, 51184)|66
(42, 56665)|53|58
(42, 57695)|58|226
(42, 58299)|58|336
(42, 58453)|53|226|178|375|509
(42, 59605)|226
(42, 60171)|53
(42, 61438)|58
(42, 61955)|58
(42, 62167)|336
(42, 137409)|226|375
(42, 196621)|336
(42, 198385)|336
(42, 198507)|53
(42, 199524)|58|226
(42, 201054)|509
(42, 204708)|53
(42, 205112)|58
(42, 206313)|58
(42, 206356)|58
(42, 206499)|58
(42, 207044)|178
(42, 210312)|336
(42, 396998)|375|509
(109, 8220)|45|375
(112, 9002)|445|478|155
(112, 12741)|155
(112, 13237)|445|478|155
(112, 20940)|445
(112, 46489)|478
(112, 57463)|445
(137, 3303)|555
(137, 5602)|555|864
(137, 8220)|555|97
(137, 8978)|555
(137, 12637)|555|864
(137, 12779)|555|864
(137, 13030)|864
(137, 14537)|864
(137, 15605)|555|864
(137, 16004)|864
(137, 20912)|555|864
(137, 24961)|864
(137, 31638)|555|864
(137, 39120)|555|864
(137, 41327)|555|864
(137, 49367)|864
(137, 49605)|555|864
(137, 49709)|555|864
(137, 50877)|555|864
(137, 57111)|864
(137, 60501)|555|864
(137, 197440)|555|864
(137, 199181)|555|864
(137, 201333)|864
(137, 202032)|864
(174, 137)|555|864
(174, 553)|58|74
(174, 559)|81|129|833
(174, 702)|58|60|74|277|108|4704
(174, 766)|127|121
(174, 800)|45
(174, 1213)|177
(174, 1257)|18|58|60|61|62|148|156|208|1236|2284|104|741|683|788|684|1053
(174, 1273)|45|53|55|58|60|61|62|67|75|106|126|130|156|181|208|214|439|832|1974|3348|40|178|301|663|909|1686|177|47|121|808|1237|3494
