IXP Number (IX-F ID),Name,Metro,Switch Name,Switch Model,Software Version,Peering DB Facility ID,Coordinates,IPv4,IPv6,MANRS,ASN Sum,IXP Switch
619,AMS-IX Mumbai,"Mumbai, Maharashtra",edge-rab-010,,,,,223.31.200.0/24,2001:e48:44:100b::/64,0,14,619+edge-rab-010
558,DE-CIX PMO (DE-CIX Palermo),,edge02.dfw8.dfw,,,,,185.1.46.0/24,2001:7f8:32::/64,1,0,558+edge02.dfw8.dfw
634,DE-CIX Mumbai (DE-CIX Interwire Internet Services Pvt Ltd),Mumbai,bom-01-ixp01,mx960,,1771,"19.141133,73.008884",103.27.170.0/23,2401:7500:fff6::0/64,0,139,634+bom-01-ixp01
558,DE-CIX PMO (DE-CIX Palermo),,edge01.ord1.ord,,,,,185.1.46.0/24,2001:7f8:32::/64,1,0,558+edge01.ord1.ord
558,DE-CIX PMO (DE-CIX Palermo),,edge01.sin1.sin,,,,,185.1.46.0/24,2001:7f8:32::/64,1,0,558+edge01.sin1.sin
558,DE-CIX PMO (DE-CIX Palermo),,edge01.dtm1.dtm,,,,,185.1.46.0/24,2001:7f8:32::/64,1,0,558+edge01.dtm1.dtm
645,INEX LAN2 (Internet Neutral Exchange Association Limited by Guarantee),Dublin,swi2-kcp1-3,Mellanox MSN2100,,178,,194.88.240.0/25,2001:7f8:18:12::/64,0,2,645+swi2-kcp1-3
558,DE-CIX PMO (DE-CIX Palermo),,edge01.nyc17.nyc,,,,,185.1.46.0/24,2001:7f8:32::/64,1,0,558+edge01.nyc17.nyc
645,INEX LAN2 (Internet Neutral Exchange Association Limited by Guarantee),Dublin,swi2-kcp1-2,X670G2-48x-4q,,178,,194.88.240.0/25,2001:7f8:18:12::/64,0,21,645+swi2-kcp1-2
558,DE-CIX PMO (DE-CIX Palermo),,edge01.cae1.cae,,,,,185.1.46.0/24,2001:7f8:32::/64,1,0,558+edge01.cae1.cae
645,INEX LAN2 (Internet Neutral Exchange Association Limited by Guarantee),Dublin,swi2-cwt1-1,X670G2-48x-4q,,164,,194.88.241.64/26,2001:7f8:18:72::/64,0,8,645+swi2-cwt1-1
